Number,CityTownofLastResidence,DestinationCityTown,Province,ShipName,Port,Arrival,lat,lng
73,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
74,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
75,MESSINA,NEW YORK,Messina,EGADI,PALERMO,08/07/1880,40.7127753,-74.0059728
76,PRIZZI,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
77,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
78,MENFI,NEW-ORLEANS-LA,Agrigento,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
79,CACCAMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
80,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
81,PALERMO,NEW YORK,Palermo,INDIPENDENTE,PALERMO,09/22/1884,40.7127753,-74.0059728
82,PALERMO,NEW-ORLEANS,Palermo,INIZIATIVA,NAPLES,07/13/1891,29.9510658,-90.0715323
83,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
84,PALERMO,NEW YORK,Palermo,LETIMBRO,PALERMO,12/03/1888,40.7127753,-74.0059728
85,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
86,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
87,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
88,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
89,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
90,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
91,CIMINNA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
92,MENFI,NEW-ORLEANS-LA,Agrigento,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
93,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
94,CACCAMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
95,USTICA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
96,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
97,MESSINA,NEW YORK,Messina,EGADI,PALERMO,08/07/1880,40.7127753,-74.0059728
98,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
99,PALERMO,USA,Palermo,GALLIA,LIVERPOOL & QUEENSTOWN,12/27/1887,37.09024,-95.712891
100,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
101,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
