,Unnamed: 0,origin_city,origin_country,geocoder_results,origin_lon,origin_lat
67,67,BAUCINA,ITALY,"<[OK] Google - Geocode [90020 Baucina, Province of Palermo, Italy]>",13.5355513,37.9268256
68,68,CAMPOBELLO DI MAZARA,ITALY,"<[OK] Google - Geocode [91021 Campobello di Mazara, Province of Trapani, Italy]>",12.7483705,37.6323046
69,69,ISNELLO,ITALY,"<[OK] Google - Geocode [90010 Isnello, Province of Palermo, Italy]>",14.0055111,37.942962
70,70,TERRASINI,ITALY,"<[OK] Google - Geocode [90049 Terrasini, Province of Palermo, Italy]>",13.082736,38.1514581
71,71,VITTORIA,ITALY,"<[OK] Google - Geocode [97019 Vittoria, Free municipal consortium of Ragusa, Italy]>",14.5372653,36.9520998
72,72,BRONTE,ITALY,"<[OK] Google - Geocode [95034 Bronte, Sicily, Province of Catania, Italy]>",14.8306658,37.78835
73,73,CALTAVUTURO,ITALY,"<[OK] Google - Geocode [90022 Caltavuturo, Province of Palermo, Italy]>",13.8910289,37.81965690000001
74,74,FAVIGNANA,ITALY,"<[OK] Google - Geocode [91023 Favignana, Province of Trapani, Italy]>",12.2948557,37.9279662
75,75,LINGUAGLOSSA,ITALY,"<[OK] Google - Geocode [95015 Linguaglossa, Province of Catania, Italy]>",15.1417683,37.8427705
76,76,MARSALA,ITALY,"<[OK] Google - Geocode [91025 Marsala, Province of Trapani, Italy]>",12.4372236,37.7981074
77,77,MONTEDORO,ITALY,"<[OK] Google - Geocode [93010 Montedoro, Province of Caltanissetta, Italy]>",13.8274226,37.4527002
78,78,CAMPOFIORITO,ITALY,"<[OK] Google - Geocode [90030 Campofiorito, Province of Palermo, Italy]>",13.2678358,37.75226480000001
79,79,SERRADIFALCO,ITALY,"<[OK] Google - Geocode [93010 Serradifalco, Province of Caltanissetta, Italy]>",13.8854007,37.4562658
80,80,COLLESANO,ITALY,"<[OK] Google - Geocode [90016 Collesano, Province of Palermo, Italy]>",13.939015,37.9232987
81,81,POLIZZI GENEROSA,ITALY,"<[OK] Google - Geocode [90028 Polizzi Generosa PA, Italy]>",14.004854,37.8119687
82,82,SAPONARA,ITALY,"<[OK] Google - Geocode [98047 Saponara, Province of Messina, Italy]>",15.4337621,38.1943157
83,83,AGIRA,ITALY,"<[OK] Google - Geocode [94011 Agira, Province of Enna, Italy]>",14.5422225,37.6005279
84,84,CARONIA,ITALY,"<[OK] Google - Geocode [98072 Caronia, Province of Messina, Italy]>",14.4411069,38.0217959
85,85,FURNARI,ITALY,"<[OK] Google - Geocode [98054 Furnari, Province of Messina, Italy]>",15.1083542,38.1040898
86,86,TROINA,ITALY,"<[OK] Google - Geocode [94018 Troina, Province of Enna, Italy]>",14.6000721,37.7847915
87,87,SANTA FLAVIA,ITALY,"<[OK] Google - Geocode [90017 Santa Flavia, Province of Palermo, Italy]>",13.5253315,38.0817189
88,88,PORTO EMPEDOCLE,ITALY,"<[OK] Google - Geocode [92014 Porto Empedocle, AG, Italy]>",13.5271724,37.2881801
89,89,SAN BIAGIO PLATANI,ITALY,"<[OK] Google - Geocode [92020 San Biagio Platani, AG, Italy]>",13.5249611,37.5092934
90,90,BELMONTE MEZZAGNO,ITALY,"<[OK] Google - Geocode [90031 Belmonte Mezzagno, Province of Palermo, Italy]>",13.3874997,38.0479627
91,91,SPADAFORA,ITALY,"<[OK] Google - Geocode [98048 Spadafora, Province of Messina, Italy]>",15.3793585,38.2227337
92,92,TRIPI,ITALY,"<[OK] Google - Geocode [98060 Tripi, Province of Messina, Italy]>",15.0908147,38.0391768
93,93,CALASCIBETTA,ITALY,"<[OK] Google - Geocode [94010 Calascibetta, Province of Enna, Italy]>",14.2705208,37.5895224
94,94,BIVONA,ITALY,"<[OK] Google - Geocode [92010 Bivona, AG, Italy]>",13.416501,37.6002307
95,95,BOLOGNETTA,ITALY,"<[OK] Google - Geocode [90030 Bolognetta, Province of Palermo, Italy]>",13.4572578,37.9632187
96,96,MOTTA D'AFFERMO,ITALY,"<[OK] Google - Geocode [98070 Motta d'Affermo, Province of Messina, Italy]>",14.3032004,37.9811619
97,97,CALATABIANO,ITALY,"<[OK] Google - Geocode [95011 Calatabiano, Province of Catania, Italy]>",15.2077798,37.8166214
98,98,MELILLI,ITALY,"<[OK] Google - Geocode [96010 Melilli, Province of Syracuse, Italy]>",15.1253159,37.1810245
99,99,CERAMI,ITALY,"<[OK] Google - Geocode [94010 Cerami, Province of Enna, Italy]>",14.5081812,37.8094607
100,100,PACE DEL MELA,ITALY,"<[OK] Google - Geocode [98042 Pace del Mela, Province of Messina, Italy]>",15.3074158,38.1784438
