,DestRaw,Dest,geocoder_results,bbox,latlong
145,MURPHYSBORO IL,"MURPHYSBORO, IL","<[OK] Google - Geocode [Murphysboro, IL 62966, USA]>","{'northeast': [37.7893119, -89.280197], 'southwest': [37.748164, -89.36150889999999]}","[37.7644952, -89.3350888]"
146,PITTSBURGH,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","{'northeast': [40.501368, -79.8657231], 'southwest': [40.3613689, -80.0952779]}","[40.44062479999999, -79.9958864]"
147,PITTSTON,PITTSTON,"<[OK] Google - Geocode [Pittston, PA, USA]>","{'northeast': [41.3441788, -75.77633689999999], 'southwest': [41.3103061, -75.8075379]}","[41.3259134, -75.78936039999999]"
148,WESTERLIN,WESTERLIN,"<[OK] Google - Geocode [3026 10th Ave, Rock Island, IL 61201, USA]>","{'northeast': [41.50236098029149, -90.5549339197085], 'southwest': [41.49966301970849, -90.55763188029151]}","[41.501012, -90.5562829]"
149,LUVELLEW,LUVELLEW,<[ZERO_RESULTS] Google - Geocode [empty]>,,
150,HILLYLLE,HILLYLLE,<[ZERO_RESULTS] Google - Geocode [empty]>,,
151,PUEBLO CO,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","{'northeast': [38.345385, -104.460868], 'southwest': [38.1891058, -104.7208689]}","[38.2544472, -104.6091409]"
152,MIDDLETON CT,"MIDDLETON, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","{'northeast': [41.6043499, -72.55094489999999], 'southwest': [41.495045, -72.7546402]}","[41.5623209, -72.6506488]"
153,NEW-HAVEN-CT,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","{'northeast': [41.35038, -72.8601438], 'southwest': [41.2461968, -72.998048]}","[41.308274, -72.9278835]"
154,LASALLE-IL,"LASALLE, IL","<[OK] Google - Geocode [Lasalle, IL, USA]>","{'northeast': [41.390355, -89.01012100000001], 'southwest': [41.3210019, -89.11631299999999]}","[41.3621503, -89.0418249]"
155,WALSTON PA,"WALSTON, PA","<[OK] Google - Geocode [Walston, PA 15781, USA]>","{'northeast': [40.9734894, -78.97874879999999], 'southwest': [40.9566384, -79.01076359999999]}","[40.9650644, -78.9947562]"
156,S FRANCISCO CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
157,S.FRANCISCO CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
158,AVON,AVON,"<[OK] Google - Geocode [5625 E 41st St, Tulsa, OK 74135, USA]>","{'northeast': [36.1064689802915, -95.91264001970849], 'southwest': [36.1037710197085, -95.9153379802915]}","[36.10512, -95.913989]"
159,HAMMONTOWN,HAMMONTOWN,"<[OK] Google - Geocode [Hammonton, NJ, USA]>","{'northeast': [39.7299091, -74.67578689999999], 'southwest': [39.5835199, -74.859134]}","[39.6365056, -74.8023853]"
160,BALTIMORA,BALTIMORA,"<[OK] Google - Geocode [Baltimore, MD, USA]>","{'northeast': [39.3722059, -76.5294528], 'southwest': [39.1972069, -76.7115407]}","[39.2903848, -76.6121893]"
161,CINCINNATI,"CINCINNATI, OH","<[OK] Google - Geocode [Cincinnati, OH, USA]>","{'northeast': [39.2207591, -84.36875479999999], 'southwest': [39.051921, -84.71204809999999]}","[39.1031182, -84.5120196]"
162,MEMPHIS,"MEMPHIS, TN","<[OK] Google - Geocode [Memphis, TN, USA]>","{'northeast': [35.264187, -89.637081], 'southwest': [34.994185, -90.3044929]}","[35.1495343, -90.0489801]"
163,ADAM-PA,"ADAM, PA","<[OK] Google - Geocode [1020 McIntosh Cir Dr # 201, Joplin, MO 64804, USA]>","{'northeast': [37.05235598029149, -94.5255160197085], 'southwest': [37.0496580197085, -94.52821398029151]}","[37.051007, -94.526865]"
164,PORTAGE PA.,"PORTAGE, PA","<[OK] Google - Geocode [Portage, PA, USA]>","{'northeast': [40.3954821, -78.663898], 'southwest': [40.3778979, -78.683953]}","[40.3886847, -78.672241]"
165,FRANCISCO,FRANCISCO,"<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
166,DUNDEE MI,"DUNDEE, MI","<[OK] Google - Geocode [Dundee, MI 48131, USA]>","{'northeast': [41.997356, -83.6320799], 'southwest': [41.9422858, -83.69316409999999]}","[41.9572676, -83.6596596]"
167,TAMBA-FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","{'northeast': [28.1714781, -82.2597409], 'southwest': [27.817487, -82.64882]}","[27.950575, -82.4571776]"
168,ALTARILLA,ALTARILLA,<[ZERO_RESULTS] Google - Geocode [empty]>,,
169,NALSTON-PA,"NALSTON, PA","<[OK] Google - Geocode [6300 Wayne Ave, Philadelphia, PA 19144, USA]>","{'northeast': [40.0379933802915, -75.18636791970849], 'southwest': [40.0352954197085, -75.18906588029151]}","[40.0366444, -75.1877169]"
170,ELIZABETH NJ,"ELIZABETH, NJ","<[OK] Google - Geocode [Elizabeth, NJ, USA]>","{'northeast': [40.690428, -74.13670309999999], 'southwest': [40.63263, -74.2542161]}","[40.6639916, -74.2107006]"
171,HAMMONTON,HAMMONTON,"<[OK] Google - Geocode [Hammonton, NJ, USA]>","{'northeast': [39.7299091, -74.67578689999999], 'southwest': [39.5835199, -74.859134]}","[39.6365056, -74.8023853]"
172,TELLURIDE,TELLURIDE,"<[OK] Google - Geocode [Telluride, CO 81435, USA]>","{'northeast': [37.951907, -107.7999291], 'southwest': [37.932252, -107.871596]}","[37.9374939, -107.8122852]"
173,CLEVELAND,"CLEVELAND, OH","<[OK] Google - Geocode [Cleveland, OH, USA]>","{'northeast': [41.604436, -81.5327439], 'southwest': [41.390628, -81.878976]}","[41.49932, -81.6943605]"
174,LAMFORT,LAMFORT,<[ZERO_RESULTS] Google - Geocode [empty]>,,
175,SOLDIER-JEFFERSON,SOLDIER-JEFFERSON,<[ZERO_RESULTS] Google - Geocode [empty]>,,
176,WASHINGTON,WASHINGTON,"<[OK] Google - Geocode [Washington, USA]>","{'northeast': [49.0024305, -116.91558], 'southwest': [45.543541, -124.8489739]}","[47.7510741, -120.7401385]"
177,HOBOKEN-NJ,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","{'northeast': [40.7590989, -74.0137841], 'southwest': [40.7303209, -74.044117]}","[40.7439905, -74.0323626]"
